datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2021/06/22 15:50:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,PEDRA GRANDE,Caatinga,9,0,1,-5.17,-35.852,10.6
2021/06/22 15:50:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,CEARA-MIRIM,Caatinga,3,0,1,-5.51,-35.442,13.6
2021/06/22 15:50:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,SENADOR GEORGINO AVELINO,Mata Atlantica,3,0,0.5,-6.164,-35.137,29.5
2021/06/22 15:50:00,AQUA_M-T,Brasil,PERNAMBUCO,IPUBI,Caatinga,38,0,1,-7.413,-40.204,42.8
2021/06/22 15:50:00,AQUA_M-T,Brasil,MARANHAO,PAULINO NEVES,Cerrado,4,0,0.2,-2.826,-42.529,50.1
2021/06/22 15:50:00,AQUA_M-T,Brasil,MARANHAO,AGUA DOCE DO MARANHAO,Cerrado,-999,0,0.1,-2.962,-42.199,31.5
2021/06/22 15:50:00,AQUA_M-T,Brasil,MARANHAO,AGUA DOCE DO MARANHAO,Cerrado,-999,0,0.1,-2.966,-42.228,22.5
2021/06/22 15:50:00,AQUA_M-T,Brasil,MARANHAO,SAO BERNARDO,Cerrado,4,0,0.3,-3.316,-42.557,24.1
2021/06/22 15:50:00,AQUA_M-T,Brasil,MARANHAO,SAO BERNARDO,Cerrado,4,0,0.1,-3.321,-42.589,35.8
2021/06/22 15:50:00,AQUA_M-T,Brasil,MARANHAO,ALDEIAS ALTAS,Cerrado,3,0,0.4,-4.414,-43.266,147.7
2021/06/22 15:50:00,AQUA_M-T,Brasil,MARANHAO,ALDEIAS ALTAS,Cerrado,3,0,0.4,-4.418,-43.262,127.8
2021/06/22 15:50:00,AQUA_M-T,Brasil,MARANHAO,ALDEIAS ALTAS,Cerrado,3,0,0.4,-4.42,-43.303,65.6
2021/06/22 15:50:00,AQUA_M-T,Brasil,MARANHAO,ALDEIAS ALTAS,Cerrado,3,0,0.4,-4.423,-43.299,75.3
2021/06/22 15:50:00,AQUA_M-T,Brasil,MARANHAO,CAXIAS,Cerrado,3,0,1,-4.635,-43.147,55.5
2021/06/22 17:20:00,AQUA_M-T,Argentina,Entre Rios,Federal,,17,0,0.5,-30.824,-59.105,10.8
2021/06/22 17:20:00,AQUA_M-T,Argentina,Entre Rios,Concordia,,16,0,0.2,-31.655,-58.195,35.7
2021/06/22 17:20:00,AQUA_M-T,Argentina,Entre Rios,Concordia,,16,0,0.3,-31.659,-58.19,38.3
2021/06/22 17:20:00,AQUA_M-T,Argentina,Entre Rios,Concordia,,0,0,0.2,-31.67,-58.052,13.3
2021/06/22 17:20:00,AQUA_M-T,Argentina,Santa Fe,San Jeronimo,,6,0,0.9,-32.148,-61.32,17.4
2021/06/22 17:20:00,AQUA_M-T,Uruguay,Rio Negro,n.a58,,0,0,0.5,-32.458,-57.28,15.2
2021/06/22 17:20:00,AQUA_M-T,Uruguay,Rio Negro,n.a58,,0,0,0.6,-32.467,-57.274,17.4
2021/06/22 17:20:00,AQUA_M-T,Uruguay,Rio Negro,n.a60,,0,0,0.3,-32.468,-57.291,36.1
2021/06/22 17:20:00,AQUA_M-T,Uruguay,Rio Negro,n.a58,,0,0,0.4,-32.469,-57.278,20.3
2021/06/22 17:20:00,AQUA_M-T,Uruguay,Rio Negro,n.a60,,0,0,0.5,-32.471,-57.296,11.4
2021/06/22 17:20:00,AQUA_M-T,Uruguay,Colonia,n.a197,,17,0,0.7,-33.879,-57.92,38
2021/06/22 17:20:00,AQUA_M-T,Uruguay,Colonia,n.a197,,17,0,0.7,-33.884,-57.913,37.8
2021/06/22 17:20:00,AQUA_M-T,Uruguay,Colonia,n.a139,,6,0,0.8,-33.895,-58.086,8.8
2021/06/22 17:20:00,AQUA_M-T,Uruguay,Colonia,n.a139,,6,0,0.8,-33.898,-58.079,18
2021/06/22 17:20:00,AQUA_M-T,Uruguay,Colonia,n.a139,,6,0,0.7,-33.9,-58.1,8.9
2021/06/22 17:20:00,AQUA_M-T,Uruguay,Colonia,n.a139,,6,0,0.8,-33.907,-58.085,12.1
2021/06/22 17:20:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,3,0,0.2,-31.246,-53.019,5.7
2021/06/22 17:25:00,AQUA_M-T,Bolivia,Santa Cruz,Chiquitos,,10,0,0.8,-18.667,-58.223,9.2
2021/06/22 17:25:00,AQUA_M-T,Brasil,MATO GROSSO,VILA RICA,Amazonia,34,0,0.9,-10.045,-52.067,44
2021/06/22 17:25:00,AQUA_M-T,Brasil,PARA,NOVO PROGRESSO,Amazonia,19,0,1,-7.549,-55.195,16.4
2021/06/22 17:25:00,AQUA_M-T,Bolivia,Santa Cruz,Chiquitos,,10,0,0.8,-18.668,-58.234,51.1
2021/06/22 17:25:00,AQUA_M-T,Bolivia,Santa Cruz,Chiquitos,,11,0,0.8,-18.814,-58.342,9.4
2021/06/22 17:25:00,AQUA_M-T,Brasil,MATO GROSSO,SANTA CARMEM,Amazonia,31,0,0.8,-11.768,-54.669,113.7
2021/06/22 17:25:00,AQUA_M-T,Brasil,PARA,ITAITUBA,Amazonia,5,0,0.4,-7.622,-56.771,18.1
2021/06/22 17:25:00,AQUA_M-T,Bolivia,Santa Cruz,Cordillera,,15,0,1,-18.861,-58.884,13.3
